"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"Wheat15A",9,9.33333333333333,0.914800891010718,11.2733333333333,1.69690874317196,1.06118127530967,0.571407407407407,2.33321811268579,1.59387541756008
"Wheat15B",9,10,1.79891942874358,11.1,1.59258770170383,0.357825711978234,0.13523950617284,1.15638955194902,1.59387541756008
"Wheat15C",13,13,0,13,1.66410058867569,1.98874344557597,0.803516049382716,5.08947421333065,2.50089409956862
"Wheat1A",10,20,10.170422803404,15.5964912280702,1.82048831694703,0.270110515043632,0.0865975308641975,1.09480763824312,1.81197198082113
"Wheat1B",14,14,0.240906027914858,14.2918235843696,1.70659076701955,1.22128616605932,0.490439506172839,1.96247552962611,2.74141869476905
"Wheat1C",12,12,0,12,1.63299316185545,1.68509357006653,0.674162962962963,3.06901882331545,2.26569506170019
"Wheat20A",16,21,5.51213188191265,22.5331252167881,2.31241997391581,1.23944939705722,0.605185185185185,2.5328330206379,3.23788641303481
"Wheat20B",11,11,0,11,1.27920429813366,2.06313610668763,0.839644444444444,6.23614190687361,2.03598888021208
"Wheat20C",13,13,0,13,1.30088727117598,2.21974619901112,0.852069135802469,6.75991454132728,2.50089409956862
"Wheat23A",9,9,0,9,1.49071198499986,0.789014828671696,0.311486419753086,1.45240417718614,1.59387541756008
"Wheat23B",12,12,0.478713553878169,12.2289935364728,1.33208039147813,1.07245329654808,0.459308641975309,1.84948397113892,2.26569506170019
"Wheat23C",6,7,1.79062815971078,9.75,1.27129720490796,0.104305367537177,0.0308148148148147,1.03179455823907,0.978257358829783
"Wheat27A",10,10,0.158113883008419,10.3333333333333,1.46230799933058,1.04772814179307,0.564661728395062,2.29706429511321,1.81197198082113
"Wheat27B",25,26,1.57809524914836,28.6467381747846,2.72814091166782,2.4105354282083,0.862943209876543,7.29624558622181,5.70772523694748
"Wheat27C",19,28.3333333333333,8.83143194893671,28.450784856879,2.54164638045603,1.50964473451298,0.696444444444444,3.29428989751098,4.01947345311034
"Wheat2A",15,16.5,2.22215514418964,18.6932067202337,2.08294703712641,0.816695603223834,0.30155061728395,1.43174297915665,2.98712459875182
"Wheat2B",11,11,0.119182823655699,11.36575,1.58787774438773,1.01705739096279,0.44397037037037,1.79846530960247,2.03598888021208
"Wheat2C",18,18,0,18,2.06827894099848,2.10049086352165,0.808938271604938,5.23391057120703,3.75415187710248
"Wheat31A",13,13.3333333333333,0.918264600506417,14.3040031708284,1.75890151574845,0.942170623741978,0.397748148148148,1.66043491095149,2.50089409956862
"Wheat31B",16,16.75,1.41719928895934,17.8269896193772,1.94344440442014,1.58428586719888,0.729283950617284,3.69390733309011,3.23788641303481
"Wheat31C",17,17,0,17,2.05798302171011,2.00941953000815,0.782913580246914,4.60646041856233,3.49359437869148
"Wheat3A",12,12.5,1.28160056179763,13.0105331388754,1.62651496708825,1.43226242857377,0.709244444444444,3.43931519413024,2.26569506170019
"Wheat3B",10,10,0,10,1.58113883008419,0.784438277176725,0.301382716049383,1.43139888315544,1.81197198082113
"Wheat3C",10,10,0.158113883008419,10.32,1.33100406230936,0.973600161450547,0.541362962962963,2.18037340913496,1.81197198082113
"Wheat4A",19,25,7.24154679609267,22.1710919641287,2.43322015363519,2.16526382069624,0.831298765432099,5.92763889702008,4.01947345311034
"Wheat4B",15,16,2.29128784747792,15.7139693086537,1.8857993257128,1.80978863109438,0.768454320987654,4.3188022521754,2.98712459875182
"Wheat4C",13,13,0,13,1.5191090506255,1.02167328035868,0.396572839506173,1.65720084455865,2.50089409956862
