"","Wheat15A","Wheat15B","Wheat15C","Wheat1A","Wheat1B","Wheat1C","Wheat20A","Wheat20B","Wheat20C","Wheat23A","Wheat23B","Wheat23C","Wheat27A","Wheat27B","Wheat27C","Wheat2A","Wheat2B","Wheat2C","Wheat31A","Wheat31B","Wheat31C","Wheat3A","Wheat3B","Wheat3C","Wheat4A","Wheat4B","Wheat4C"
"Wheat15A",0,0.662222222222222,0.673333333333333,0.662222222222222,0.977777777777778,0.926666666666667,0.66,0.993333333333333,0.597777777777778,0.977777777777778,0.968888888888889,0.666666666666667,0.662222222222222,0.848888888888889,0.646666666666667,0.664444444444444,0.891111111111111,0.984444444444444,0.982222222222222,0.648888888888889,0.968888888888889,0.742222222222222,0.977777777777778,0.662222222222222,0.926666666666667,0.664444444444444,0.886666666666667
"Wheat15B",0.662222222222222,0,0.62,0.0533333333333333,0.926666666666667,0.913333333333333,0.577777777777778,0.975555555555556,0.893333333333333,0.971111111111111,0.922222222222222,0.0622222222222222,0.555555555555556,0.824444444444444,0.546666666666667,0.135555555555556,0.891111111111111,0.935555555555556,0.98,0.646666666666667,0.955555555555556,0.695555555555556,0.933333333333333,0.595555555555556,0.906666666666667,0.637777777777778,0.864444444444444
"Wheat15C",0.673333333333333,0.62,0,0.66,0.6,0.635555555555556,0.395555555555556,0.746666666666667,0.602222222222222,0.844444444444444,0.606666666666667,0.675555555555556,0.34,0.535555555555556,0.664444444444444,0.657777777777778,0.871111111111111,0.686666666666667,0.897777777777778,0.675555555555556,0.757777777777778,0.417777777777778,0.671111111111111,0.633333333333333,0.815555555555556,0.482222222222222,0.582222222222222
"Wheat1A",0.662222222222222,0.0533333333333333,0.66,0,0.962222222222222,0.915555555555556,0.613333333333333,0.982222222222222,0.897777777777778,0.971111111111111,0.962222222222222,0.0355555555555556,0.591111111111111,0.86,0.562222222222222,0.144444444444444,0.891111111111111,0.977777777777778,0.975555555555556,0.655555555555556,0.96,0.728888888888889,0.971111111111111,0.595555555555556,0.913333333333333,0.673333333333333,0.9
"Wheat1B",0.977777777777778,0.926666666666667,0.6,0.962222222222222,0,0.817777777777778,0.462222222222222,0.866666666666667,0.888888888888889,0.904444444444444,0.208888888888889,0.98,0.42,0.584444444444444,0.957777777777778,0.962222222222222,0.953333333333333,0.602222222222222,0.942222222222222,0.98,0.833333333333333,0.568888888888889,0.237777777777778,0.937777777777778,0.897777777777778,0.777777777777778,0.215555555555556
"Wheat1C",0.926666666666667,0.913333333333333,0.635555555555556,0.915555555555556,0.817777777777778,0,0.913333333333333,0.7,0.653333333333333,0.9,0.888888888888889,0.928888888888889,0.906666666666667,0.82,0.917777777777778,0.913333333333333,0.908888888888889,0.953333333333333,0.946666666666667,0.928888888888889,0.548888888888889,0.868888888888889,0.942222222222222,0.886666666666667,0.822222222222222,0.871111111111111,0.866666666666667
"Wheat20A",0.66,0.577777777777778,0.395555555555556,0.613333333333333,0.462222222222222,0.913333333333333,0,0.971111111111111,0.902222222222222,0.971111111111111,0.468888888888889,0.62,0.111111111111111,0.555555555555556,0.602222222222222,0.595555555555556,0.891111111111111,0.617777777777778,0.96,0.655555555555556,0.96,0.373333333333333,0.475555555555556,0.611111111111111,0.913333333333333,0.526666666666667,0.395555555555556
"Wheat20B",0.993333333333333,0.975555555555556,0.746666666666667,0.982222222222222,0.866666666666667,0.7,0.971111111111111,0,0.755555555555556,0.915555555555556,0.917777777777778,0.993333333333333,0.975555555555556,0.886666666666667,0.968888888888889,0.966666666666667,0.971111111111111,0.866666666666667,0.96,0.904444444444444,0.78,0.937777777777778,0.96,0.948888888888889,0.691111111111111,0.671111111111111,0.937777777777778
"Wheat20C",0.597777777777778,0.893333333333333,0.602222222222222,0.897777777777778,0.888888888888889,0.653333333333333,0.902222222222222,0.755555555555556,0,0.904444444444444,0.891111111111111,0.904444444444444,0.886666666666667,0.842222222222222,0.911111111111111,0.904444444444444,0.884444444444444,0.966666666666667,0.948888888888889,0.906666666666667,0.791111111111111,0.866666666666667,0.946666666666667,0.866666666666667,0.84,0.833333333333333,0.851111111111111
"Wheat23A",0.977777777777778,0.971111111111111,0.844444444444444,0.971111111111111,0.904444444444444,0.9,0.971111111111111,0.915555555555556,0.904444444444444,0,0.937777777777778,0.982222222222222,0.917777777777778,0.933333333333333,0.984444444444444,0.977777777777778,0.964444444444444,0.975555555555556,0.186666666666667,0.986666666666667,0.924444444444444,0.944444444444444,0.946666666666667,0.951111111111111,0.915555555555556,0.917777777777778,0.935555555555556
