"","Wheat15A","Wheat15B","Wheat15C","Wheat1A","Wheat1B","Wheat1C","Wheat20A","Wheat20B","Wheat20C","Wheat23A","Wheat23B","Wheat23C","Wheat27A","Wheat27B","Wheat27C","Wheat2A","Wheat2B","Wheat2C","Wheat31A","Wheat31B","Wheat31C","Wheat3A","Wheat3B","Wheat3C","Wheat4A","Wheat4B","Wheat4C"
"Wheat15A",0,0.8,0.842105263157895,0.8125,0.85,0.833333333333333,0.75,0.947368421052632,0.842105263157895,0.8,0.6875,0.75,0.8125,0.785714285714286,0.833333333333333,0.857142857142857,0.75,0.875,0.842105263157895,0.80952380952381,0.869565217391304,0.833333333333333,0.733333333333333,0.8125,0.923076923076923,0.736842105263158,0.705882352941176
"Wheat15B",0.8,0,0.428571428571429,0.642857142857143,0.5625,0.5,0.75,0.666666666666667,0.625,0.615384615384615,0.5,0.636363636363636,0.538461538461538,0.785714285714286,0.833333333333333,0.736842105263158,0.75,0.772727272727273,0.705882352941176,0.80952380952381,0.631578947368421,0.6,0.538461538461538,0.642857142857143,0.666666666666667,0.666666666666667,0.625
"Wheat15C",0.842105263157895,0.428571428571429,0,0.5625,0.411764705882353,0.4375,0.681818181818182,0.666666666666667,0.555555555555556,0.428571428571429,0.4375,0.733333333333333,0.357142857142857,0.689655172413793,0.857142857142857,0.782608695652174,0.666666666666667,0.807692307692308,0.375,0.84,0.5,0.4375,0.647058823529412,0.5625,0.608695652173913,0.6,0.470588235294118
"Wheat1A",0.8125,0.642857142857143,0.5625,0,0.5,0.533333333333333,0.761904761904762,0.6875,0.722222222222222,0.642857142857143,0.625,0.666666666666667,0.571428571428572,0.75,0.884615384615385,0.684210526315789,0.764705882352941,0.782608695652174,0.647058823529412,0.869565217391304,0.714285714285714,0.533333333333333,0.666666666666667,0.571428571428572,0.681818181818182,0.684210526315789,0.647058823529412
"Wheat1B",0.85,0.5625,0.411764705882353,0.5,0,0.375,0.636363636363636,0.529411764705882,0.65,0.5625,0.555555555555556,0.75,0.5,0.607142857142857,0.821428571428572,0.791666666666667,0.684210526315789,0.72,0.578947368421053,0.846153846153846,0.523809523809524,0.375,0.588235294117647,0.588235294117647,0.565217391304348,0.619047619047619,0.5
"Wheat1C",0.833333333333333,0.5,0.4375,0.533333333333333,0.375,0,0.666666666666667,0.5625,0.611111111111111,0.6,0.5,0.714285714285714,0.533333333333333,0.678571428571428,0.807692307692308,0.714285714285714,0.722222222222222,0.75,0.611111111111111,0.833333333333333,0.619047619047619,0.4,0.625,0.533333333333333,0.652173913043478,0.65,0.529411764705882
"Wheat20A",0.75,0.75,0.681818181818182,0.761904761904762,0.636363636363636,0.666666666666667,0,0.714285714285714,0.791666666666667,0.611111111111111,0.727272727272727,0.777777777777778,0.631578947368421,0.67741935483871,0.870967741935484,0.807692307692308,0.714285714285714,0.785714285714286,0.619047619047619,0.896551724137931,0.821428571428572,0.6,0.7,0.631578947368421,0.793103448275862,0.523809523809524,0.619047619047619
"Wheat20B",0.947368421052632,0.666666666666667,0.666666666666667,0.6875,0.529411764705882,0.5625,0.714285714285714,0,0.736842105263158,0.75,0.722222222222222,0.866666666666667,0.764705882352941,0.714285714285714,0.846153846153846,0.761904761904762,0.777777777777778,0.681818181818182,0.736842105263158,0.826086956521739,0.666666666666667,0.647058823529412,0.833333333333333,0.6,0.571428571428572,0.761904761904762,0.736842105263158
"Wheat20C",0.842105263157895,0.625,0.555555555555556,0.722222222222222,0.65,0.611111111111111,0.791666666666667,0.736842105263158,0,0.705882352941176,0.611111111111111,0.733333333333333,0.647058823529412,0.733333333333333,0.933333333333333,0.833333333333333,0.736842105263158,0.892857142857143,0.631578947368421,0.884615384615385,0.636363636363636,0.611111111111111,0.722222222222222,0.647058823529412,0.72,0.6,0.555555555555556
"Wheat23A",0.8,0.615384615384615,0.428571428571429,0.642857142857143,0.5625,0.6,0.611111111111111,0.75,0.705882352941176,0,0.6875,0.75,0.272727272727273,0.785714285714286,0.923076923076923,0.8,0.75,0.875,0.533333333333333,0.91304347826087,0.761904761904762,0.6,0.642857142857143,0.642857142857143,0.727272727272727,0.588235294117647,0.533333333333333
"Wheat23B",0.6875,0.5,0.4375,0.625,0.555555555555556,0.5,0.727272727272727,0.722222222222222,0.611111111111111,0.6875,0,0.615384615384615,0.625,0.678571428571428,0.807692307692308,0.772727272727273,0.466666666666667,0.75,0.529411764705882,0.782608695652174,0.55,0.5,0.533333333333333,0.533333333333333,0.708333333333333,0.65,0.529411764705882
"Wheat23C",0.75,0.636363636363636,0.733333333333333,0.666666666666667,0.75,0.714285714285714,0.777777777777778,0.866666666666667,0.733333333333333,0.75,0.615384615384615,0,0.666666666666667,0.851851851851852,0.91304347826087,0.833333333333333,0.692307692307692,0.857142857142857,0.642857142857143,0.842105263157895,0.789473684210526,0.714285714285714,0.666666666666667,0.666666666666667,0.80952380952381,0.6875,0.642857142857143
"Wheat27A",0.8125,0.538461538461538,0.357142857142857,0.571428571428572,0.5,0.533333333333333,0.631578947368421,0.764705882352941,0.647058823529412,0.272727272727273,0.625,0.666666666666667,0,0.75,0.925925925925926,0.80952380952381,0.764705882352941,0.88,0.466666666666667,0.916666666666667,0.714285714285714,0.533333333333333,0.571428571428572,0.666666666666667,0.681818181818182,0.4375,0.466666666666667
"Wheat27B",0.785714285714286,0.785714285714286,0.689655172413793,0.75,0.607142857142857,0.678571428571428,0.67741935483871,0.714285714285714,0.733333333333333,0.785714285714286,0.678571428571428,0.851851851851852,0.75,0,0.666666666666667,0.75,0.714285714285714,0.735294117647059,0.733333333333333,0.828571428571429,0.6875,0.576923076923077,0.793103448275862,0.703703703703704,0.742857142857143,0.666666666666667,0.689655172413793
"Wheat27C",0.833333333333333,0.833333333333333,0.857142857142857,0.884615384615385,0.821428571428572,0.807692307692308,0.870967741935484,0.846153846153846,0.933333333333333,0.923076923076923,0.807692307692308,0.91304347826087,0.925925925925926,0.666666666666667,0,0.827586206896552,0.888888888888889,0.806451612903226,0.896551724137931,0.793103448275862,0.875,0.851851851851852,0.884615384615385,0.84,0.882352941176471,0.903225806451613,0.857142857142857
